,KIC,Kpmag,numax,e_numax,Delnu,e_Delnu,Teff_x,e_Teff_x,log(g),e_log(g),[Fe/H],e_[Fe/H],Dist,E_Dist,e_Dist,luminosity_berger
15131,12169924,12.51,45.06,0.58,4.447,0.013000000000000001,4646,80,2.555,0.008,-0.15,0.15,2930.945,242.41400000000002,208.727,86.14124688394371
15132,12170173,12.74,111.95,0.72,9.561,0.022000000000000002,4874,80,2.96,0.006,0.01,0.15,1662.451,80.06,73.222,21.374252722496802
15133,12170216,13.64,39.76,0.66,4.372,0.013000000000000001,5008,153,2.517,0.011000000000000001,-0.23,0.3,3458.816,230.30200000000002,203.91099999999997,52.4700854159677
15134,12170553,13.64,37.36,0.9,4.367,0.049,5085,162,2.4930000000000003,0.013000000000000001,-0.14,0.3,4258.286,362.654,311.26,86.35399772671043
15135,12201679,13.7,77.12,0.73,7.559,0.023,5255,156,2.815,0.009000000000000001,-0.43,0.3,4198.425,320.561,279.183,62.99408200619132
15136,12201835,12.54,29.68,0.7,4.092,0.102,5090,154,2.3930000000000002,0.013000000000000001,-1.05,0.3,2624.7209999999995,155.138,139.138,67.39418275483084
15137,12201962,12.82,53.67,0.46,5.686,0.012,4998,147,2.6460000000000004,0.009000000000000001,-0.53,0.3,2432.174,125.552,114.119,49.19799598900498
15138,12202062,13.16,39.52,0.83,4.396,0.033,5151,152,2.52,0.012,-0.57,0.3,4064.165,208.956,190.055,97.23222338209031
15139,12202431,9.91,38.07,0.59,4.28,0.046,4685,80,2.483,0.009000000000000001,0.04,0.15,734.425,11.105,10.808,53.485798668147886
15140,12203182,13.14,160.5,1.15,13.323,0.02,5402,161,3.139,0.008,-0.28,0.3,1747.6,41.13399999999999,39.391,17.476173056665914
15141,12203197,13.765999999999998,233.72,2.31,17.515,0.051,5169,161,3.293,0.009000000000000001,0.12,0.3,1856.092,57.283,54.099,11.873019574964822
15142,12203227,13.96,25.97,0.58,3.04,0.019,4628,161,2.314,0.013000000000000001,0.04,0.3,7511.106,1040.471,829.6110000000001,121.09890792071481
15143,12203243,11.68,196.54,1.2,15.125,0.040999999999999995,5126,150,3.216,0.008,0.1,0.3,727.37,12.892999999999999,12.485,12.093715164846556
